from,to,cost
1201054,1201054,0.0
1201054,1201066,2610.9
1201054,1201076,2822.7
1201054,1201087,2911.5
1201054,1201100,7160.1
1201054,1201112,2656.5
1201054,1201118,3417.2
1201054,1201125,3659.9
1201054,1201145,6168.4
1201054,1201159,2651.8
1201054,1201171,4877.2
1201054,1201185,3986.6
1201054,1201197,9888.2
1201054,1201211,4312.1
1201054,1201217,8784.5
1201054,1201222,5420.8
1201054,1201240,7508.1
1201054,1201254,6673.6
1201054,1201283,6936.2
1201054,1201292,10666.6
1201054,1201298,7715.9
1201054,1201315,9603.6
1201054,1201333,8780.4
1201054,1201365,9068.4
1201054,1201399,10212.2
1201054,1204577,9913.7
1201054,1204607,8226.6
1201054,1204621,7865.3
1201054,1204632,10095.2
1201054,1204638,9348.8
1201054,1204643,7262.5
1201054,1204650,6151.5
1201054,1204665,5936.1
1201054,1204688,5434.0
1201054,1204695,10204.7
1201054,1204699,5485.1
1201054,1204701,9984.1
1201054,1204716,8306.3
1201054,1204731,7385.3
1201054,1204737,8030.4
1201054,1204750,7660.5
1201054,1204761,7157.8
1201054,1204766,3625.1
1201054,1204787,5548.9
1201054,1204798,9895.1
1201054,1204808,4653.5
1201054,1204816,5891.5
1201054,1204825,4876.3
1201054,1204841,8901.7
1201054,1204861,5145.7
1201054,1204869,8432.7
1201054,1204924,6652.4
1201054,1204937,7021.6
1201054,1204950,7949.3
1201054,1204967,10005.0
1201054,1204982,9069.6
1201054,1205012,9567.2
1201054,1209059,3341.3
1201054,1209070,8256.7
1201054,1209076,5943.5
1201054,1209091,5067.5
1201054,1209092,4381.5
1201054,1209161,4400.3
1201054,1209162,5052.4
1201054,1209176,1659.2
1201054,1209178,3741.1
1201054,1209189,5520.1
1201054,1210599,9139.0
1201054,1210600,9049.6
1201054,1210601,9437.0
1201054,1210609,7721.6
1201054,1210610,7728.8
1201054,1210618,8367.1
1201054,1210728,10293.3
1201054,1210729,9757.5
1201054,1210736,10061.1
1201054,1210737,9922.3
1201054,1210745,10162.5
1201054,1211247,10489.7
1201054,1211266,10076.6
1201054,1211276,9801.1
1201054,1211653,9692.2
1201054,1211663,9390.2
1201054,1211682,8906.0
1201054,1211692,8349.4
1201054,1211706,7994.8
1201054,1211716,7877.5
1201054,1211717,7177.8
1201054,1211724,6533.5
1201054,1211725,8518.5
1201054,1211731,6025.3
1201054,1211732,9025.5
1201054,1211740,5569.0
1201054,1211741,9489.5
1201054,1211750,5192.0
1201054,1211752,9864.8
1201054,1211760,4450.3
1201054,1211770,3833.5
1201054,1211784,3193.9
1201054,1211853,9480.9
1201054,1213528,8883.5
1201054,1213963,2305.0
1201054,1213968,3088.8
1201054,1216105,10036.7
1201054,1219081,2373.1
1201054,1219099,2525.1
1201066,1201054,5117.9
1201066,1201066,0.0
1201066,1201076,211.6
1201066,1201087,7401.7
1201066,1201112,7774.5
1201066,1201118,8535.2
1201066,1201125,7261.3
1201066,1201145,9390.4
1201066,1201159,6165.8
1201066,1201171,8099.2
1201066,1201185,7208.7
1201066,1201211,7534.1
1201066,1201222,8642.8
1201066,1201254,9895.7
1201066,1201283,10158.2
1201066,1204643,10612.6
1201066,1204650,9506.1
1201066,1204665,9286.2
1201066,1204688,8765.2
1201066,1204695,8010.0
1201066,1204699,8879.7
1201066,1204701,7789.4
1201066,1204716,6111.6
1201066,1204737,5835.7
1201066,1204761,4963.1
1201066,1204766,5950.4
1201066,1204781,7665.0
1201066,1204787,7789.3
1201066,1204798,7392.3
1201066,1204808,6978.8
1201066,1204816,3696.8
1201066,1204825,7201.6
1201066,1204841,6399.0
1201066,1204861,2534.7
1201066,1204869,5929.9
1201066,1204924,4041.3
1201066,1204937,4410.5
1201066,1204950,5338.2
1201066,1204967,7393.9
1201066,1204982,6458.6
1201066,1204997,10014.5
1201066,1205012,6956.2
1201066,1205028,8923.2
1201066,1205045,8051.3
1201066,1205071,8331.7
1201066,1205088,9339.2
1201066,1209059,6563.3
1201066,1209076,9165.5
1201066,1209091,8217.4
1201066,1209092,7585.8
1201066,1209161,7550.3
1201066,1209162,8256.7
1201066,1209176,6777.2
1201066,1209178,6891.0
1201066,1209189,8742.1
1201066,1209568,10346.9
1201066,1209646,11139.4
1201066,1211206,9761.4
1201066,1211221,9278.3
1201066,1211229,8702.0
1201066,1211247,7878.7
1201066,1211266,7465.5
1201066,1211276,7190.0
1201066,1211309,8182.4
1201066,1211317,8642.0
1201066,1211325,9161.8
1201066,1211334,9675.3
1201066,1211343,10048.3
1201066,1211352,10497.9
1201066,1211360,11127.0
1201066,1211368,11656.9
1201066,1211378,12102.6
1201066,1211387,12893.8
1201066,1211653,7081.1
1201066,1211663,6779.2
1201066,1211682,6295.0
1201066,1211692,5738.4
1201066,1211706,5383.8
1201066,1211716,5266.4
1201066,1211717,4566.7
1201066,1211724,3922.4
1201066,1211725,5907.4
1201066,1211731,3414.2
1201066,1211732,6414.4
1201066,1211740,2957.9
1201066,1211741,6878.4
1201066,1211750,2581.0
1201066,1211752,7253.7
1201066,1211760,1839.2
1201066,1211761,8010.1
1201066,1211770,1222.4
1201066,1211772,8637.0
1201066,1211784,582.9
1201066,1211787,9261.1
1201066,1211853,7286.2
1201066,1212303,9122.0
1201066,1212310,9939.6
1201066,1212311,10269.4
1201066,1212319,9382.8
1201066,1213963,7423.0
1201066,1213968,6238.7
1201066,1215822,9567.8
1201066,1215986,7928.7
1201066,1216024,8622.5
1201066,1216068,11098.0
1201066,1216077,10309.0
1201066,1216095,9217.6
1201066,1216105,7425.6
1201066,1216128,8232.6
1201066,1216136,8679.2
1201066,1216144,11171.2
1201066,1216152,11709.2
1201066,1216161,12130.9
1201066,1216170,12923.6
1201066,1219081,7491.1
1201066,1219099,7643.1
1201076,1201054,4906.2
1201076,1201066,7517.3
1201076,1201076,0.0
1201076,1201087,7190.0
1201076,1201112,7562.8
1201076,1201118,8323.5
1201076,1201125,7049.6
1201076,1201145,9178.7
1201076,1201159,5954.2
1201076,1201171,7887.6
1201076,1201185,6997.0
1201076,1201211,7322.4
1201076,1201222,8431.1
1201076,1201254,9684.0
1201076,1201283,9946.5
1201076,1201298,10726.2
1201076,1204643,10400.9
1201076,1204650,9294.4
1201076,1204665,9074.5
1201076,1204688,8553.5
1201076,1204695,7798.3
1201076,1204699,8668.1
1201076,1204701,7577.7
1201076,1204716,5899.9
1201076,1204731,10568.3
1201076,1204737,5624.0
1201076,1204750,10843.5
1201076,1204761,4751.4
1201076,1204766,5738.7
1201076,1204781,7453.3
1201076,1204787,7577.6
1201076,1204798,7180.7
1201076,1204808,6767.1
1201076,1204816,3485.1
1201076,1204825,6989.9
1201076,1204841,6187.3
1201076,1204861,2323.0
1201076,1204869,5718.2
1201076,1204924,3829.7
1201076,1204937,4198.8
1201076,1204944,11417.4
1201076,1204950,5126.5
1201076,1204967,7182.2
1201076,1204982,6246.9
1201076,1204997,9802.8
1201076,1205012,6744.5
1201076,1205028,8711.5
1201076,1205045,7839.7
1201076,1205071,8120.0
1201076,1205088,9127.5
1201076,1209059,6351.6
1201076,1209076,8953.8
1201076,1209091,8005.7
1201076,1209092,7374.1
1201076,1209161,7338.6
1201076,1209162,8045.0
1201076,1209176,6565.5
1201076,1209178,6679.3
1201076,1209189,8530.5
1201076,1209568,10135.2
1201076,1209646,10927.7
1201076,1211206,9549.7
1201076,1211221,9066.6
1201076,1211229,8490.3
1201076,1211247,7667.0
1201076,1211266,7253.8
1201076,1211276,6978.3
1201076,1211309,7970.7
1201076,1211317,8430.3
1201076,1211325,8950.1
1201076,1211334,9463.6
1201076,1211343,9836.6
1201076,1211352,10286.2
1201076,1211360,10915.3
1201076,1211368,11445.2
1201076,1211378,11890.9
1201076,1211387,12682.1
1201076,1211653,6869.4
1201076,1211663,6567.5
1201076,1211682,6083.3
1201076,1211692,5526.7
1201076,1211706,5172.1
1201076,1211716,5054.7
1201076,1211717,4355.0
1201076,1211724,3710.7
1201076,1211725,5695.7
1201076,1211731,3202.5
1201076,1211732,6202.7
1201076,1211740,2746.2
1201076,1211741,6666.7
1201076,1211750,2369.3
1201076,1211752,7042.0
1201076,1211760,1627.5
1201076,1211761,7798.4
1201076,1211770,1010.7
1201076,1211772,8425.3
1201076,1211784,371.2
1201076,1211787,9049.5
1201076,1211853,7074.5
1201076,1212303,8910.4
1201076,1212310,9727.9
1201076,1212311,10057.7
1201076,1212319,9171.1
1201076,1212320,10629.3
1201076,1213963,7211.3
1201076,1213968,6027.0
1201076,1215822,9356.2
1201076,1215986,7717.0
1201076,1216024,8410.8
1201076,1216068,10886.3
1201076,1216077,10097.3
1201076,1216095,9005.9
1201076,1216105,7213.9
1201076,1216128,8020.9
1201076,1216136,8467.5
1201076,1216144,10959.5
